name,homepage_url,results_url
1-800 Contacts,https://www.1800contacts.com,https://www.1800contacts.com/job-listing
7-Eleven,https://www.7-eleven.com,https://careers.7-eleven.com/search-jobs/data%20scientist/7/1
99 Ranch Market,https://www.99ranch.com,"https://www.indeed.com/cmp/Tawa-Services,-Inc./jobs?q=data+scientist&l=#cmp-skip-header-desktop"
Aaron's,https://www.aarons.com,"https://jobs.aarons.com/search-jobs/data%20scientsit/9/1?fl=6252001,6251999&glat=40.81087112426758&glon=-89.63426208496094"
Abercrombie & Fitch,https://www.abercrombie.com,https://corporate.abercrombie.com/careers
Abt Electronics,https://www.abt.com,https://jobs.jobvite.com/abt/jobs/viewall
Academy Sports + Outdoors,https://www.academy.com,https://careers.academy.com/us/en/search-results?keywords=data%20scientist
Ace Hardware,https://www.acehardware.com,https://careers.acehardware.com/job-search/?keyword=data+scientist
Acme Markets,https://www.acmemarkets.com,https://eofd.fa.us6.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1001/jobs?keyword=data+scientist&mode=location
Adidas,https://www.adidas.com,https://careers.adidas-group.com/?brand=adidas
Adorama,https://www.adorama.com,https://job-boards.greenhouse.io/CreatorsWorkHere
Advance Auto Parts,https://www.advanceautoparts.com,https://jobs.advanceautoparts.com/us/en/search-results?keywords=data%20scientist
Aerie,https://www.ae.com/aerie,https://hcml.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/AEO-Careers/jobs?keyword=data+scientist&mode=location
Aeropostale,https://www.aeropostale.com,https://jobs.dayforcehcm.com/en-US/aeropostale/AeropostaleCorporate?searchText=data+scientist
"Aeropostale (SPARC""",https://www.aeropostale.com,https://jobs.dayforcehcm.com/en-US/aeropostale/AeropostaleCorporate?searchText=data
"Ahold Delhaize USA (Corporate""",https://www.aholddelhaize.com,https://careers.aholddelhaize.com/search?q=data
AJ's Fine Foods,https://www.ajsfinefoods.com,https://fa-epss-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/jobs?keyword=data+scientist&mode=location
Albertsons,https://www.albertsons.com,https://eofd.fa.us6.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1001/jobs?keyword=data+scientist&mode=location
Aldi,https://www.aldi.us,https://careers.aldi.us/search-jobs/data%20scientsit/61/1?glat=41.56769943237305&glon=-87.6541976928711
"Allbirds""",https://www.allbirds.com,https://www.allbirds.com/pages/careers
"Amer Sports (US""",https://www.amersports.com,https://amersports.careers.talentadore.com/
America's Best Contacts & Eyeglasses,https://www.americasbest.com,https://www.nationalvision.com/careers/corporate/corporate-career-opportunities/?search=data
America's Tire,https://www.americastire.com,https://careers.discounttire.com/?keyword=data%20scientist
Anthropologie,https://www.anthropologie.com,https://hub-urbn.icims.com/jobs/search?ss=1&searchKeyword=data+scientist&searchRelation=keyword_all
"Arc'teryx (Amer Sports""",https://arcteryx.com,https://jobs.lever.co/arcteryx.com
"Arhaus""",https://www.arhaus.com,https://recruiting.ultipro.com/ARH1000ARH/JobBoard/e5051b40-e91f-fa81-f0bf-ed2e9361f690/?q=data&o=relevance&w=&wc=&we=&wpst=
"Aritzia""",https://www.aritzia.com/us/en,https://aritzia.wd3.myworkdayjobs.com/External?q=data
Ashley,https://www.ashleyfurniture.com,https://ashleyfurniturecareers.com/jobs?keyword=data+scientist&radius=15&page=1
ASICS,https://www.asics.com/us,https://career012.successfactors.eu/career?company=S003910448P&career%5fns=job%5flisting%5fsummary&navBarLevel=JOB%5fSEARCH&site=VjItR2U0ZmpQVjVzUDcwUnBWUG54ZmgyZz09&_s.crb=KxyucnS04E7rhYwKwP6tRaIOkFAnweI7jayaTqwK6Fc%3d
